metric,dataset,method_A,method_B,model,val_A,val_B,diff_A_minus_B,A_wins,ci_separated,cohens_d_A,cohens_d_B,evidence,n_aligned,sample_adequacy,n_common_models,consistent_winner,boot_ci_lo_diff,boot_ci_hi_diff,inference_note
Explanation Accuracy,CIC_IIoT_2025,LIME,SHAP,Transformer,0.63,0.825,-0.195,False,,,,INCONCLUSIVE,200,limited,6,SHAP,-0.2345,-0.0011,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,CIC_IIoT_2025,LIME,SHAP,XGB,0.6,0.6667,-0.0667,False,,,,INCONCLUSIVE,30,minimal,6,SHAP,-0.2345,-0.0011,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Anchors,LIME,DT,0.0667,0.3667,-0.3,False,,,,INCONCLUSIVE,30,minimal,2,LIME,-0.3,-0.0667,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Anchors,LIME,XGB,0.1333,0.2,-0.0667,False,,,,INCONCLUSIVE,30,minimal,2,LIME,-0.3,-0.0667,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Anchors,SHAP,DT,0.0667,0.3667,-0.3,False,,,,INCONCLUSIVE,30,minimal,2,SHAP,-0.3,-0.0334,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Anchors,SHAP,XGB,0.1333,0.1667,-0.0334,False,,,,INCONCLUSIVE,30,minimal,2,SHAP,-0.3,-0.0334,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Attention,IntegratedGradients,LSTM,0.24,0.36,-0.12,False,,,,INCONCLUSIVE,50,minimal,2,IntegratedGradients,-0.2,-0.12,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Attention,IntegratedGradients,Transformer,0.16,0.36,-0.2,False,,,,INCONCLUSIVE,50,minimal,2,IntegratedGradients,-0.2,-0.12,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Attention,LIME,LSTM,0.24,0.22,0.02,True,,,,INCONCLUSIVE,50,minimal,2,Attention,-0.22,0.02,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Attention,LIME,Transformer,0.16,0.38,-0.22,False,,,,INCONCLUSIVE,50,minimal,2,Attention,-0.22,0.02,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Attention,SHAP,LSTM,0.24,0.46,-0.22,False,,,,INCONCLUSIVE,50,minimal,2,SHAP,-0.4,-0.22,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,Attention,SHAP,Transformer,0.16,0.56,-0.4,False,,,,INCONCLUSIVE,50,minimal,2,SHAP,-0.4,-0.22,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,IntegratedGradients,LIME,LSTM,0.36,0.22,0.14,True,,,,INCONCLUSIVE,50,minimal,2,IntegratedGradients,-0.02,0.14,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,IntegratedGradients,LIME,Transformer,0.36,0.38,-0.02,False,,,,INCONCLUSIVE,50,minimal,2,IntegratedGradients,-0.02,0.14,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,IntegratedGradients,SHAP,LSTM,0.36,0.46,-0.1,False,,,,INCONCLUSIVE,50,minimal,2,SHAP,-0.2,-0.1,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,IntegratedGradients,SHAP,Transformer,0.36,0.56,-0.2,False,,,,INCONCLUSIVE,50,minimal,2,SHAP,-0.2,-0.1,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,LIME,SHAP,DT,0.3667,0.3667,0.0,False,,,,INCONCLUSIVE,30,minimal,6,SHAP,-0.3261,0.1733,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,LIME,SHAP,LR,0.7333,0.7733,-0.04,False,,,,INCONCLUSIVE,1000,full,6,SHAP,-0.3261,0.1733,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,LIME,SHAP,LSTM,0.22,0.46,-0.24,False,,,,INCONCLUSIVE,50,minimal,6,SHAP,-0.3261,0.1733,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,LIME,SHAP,RF,0.0433,0.08,-0.0367,False,,,,INCONCLUSIVE,1000,full,6,SHAP,-0.3261,0.1733,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,LIME,SHAP,Transformer,0.38,0.56,-0.18,False,,,,INCONCLUSIVE,50,minimal,6,SHAP,-0.3261,0.1733,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
Explanation Accuracy,IDS2025_Balanced,LIME,SHAP,XGB,0.2,0.1667,0.0333,True,,,,INCONCLUSIVE,30,minimal,6,SHAP,-0.3261,0.1733,"DESCRIPTIVE ONLY — n_models=6, NO INFERENCE"
